id,question,option1,option2,option3,option4,correct_answer,explanation
1,地球の表面(ひょうめん)を10こにわけると、そのうち何こが海(うみ)かな？,3こ,5こ,7こ,9こ,3,地球の表面(ひょうめん)の多くは海(うみ)で、10こにわけると7こくらいになるよ。
2,地球の形にいちばん近いのはどれ？,まるいボール,ひしがた,しかくいはこ,たてながいたこ,1,地球はほぼまるい形をしていて、ボールにいちばんにているよ。
3,雲は何でできている？,小さな水(みず)のつぶ,小さな石(いし),小さな砂(すな),小さな塩(しお),1,雲は空の高いところで、小さな水(みず)のつぶが集まってできているよ。
4,雲の中の水(みず)のつぶが大きくなりすぎると、何になる？,雨(あめ),くもり,風(かぜ),光(ひかり),1,雲の水(みず)のつぶが大きくなって重くなると、雨(あめ)として落ちてくるよ。
5,雨のあと、水(みず)は川(かわ)に流れて、最後にどこへ行く？,森(もり),海(うみ),山(やま),雪(ゆき),2,地面(じめん)を流れた水(みず)は川(かわ)に集まり、やがて海(うみ)へ注ぐよ。
6,海(うみ)の水がしょっぱいのは、何がとけているから？,砂(すな),塩(しお),砂糖(さとう),油(あぶら),2,海水(かいすい)には塩(しお)がとけていて、しょっぱい味がするよ。
7,山(やま)が火山(かざん)になるとき、下から出てくるとてもあついものを何という？,みず,き,マグマ,空気(くうき),3,地中(ちちゅう)の石がとけたものを、マグマというよ。
8,火山(かざん)が噴火(ふんか)すると、ふつう何がいちばん先に出てくる？,灰(はい),溶(と)けた岩(いわ),水(みず),砂(すな),1,噴火(ふんか)のときは、火山灰(かざんばい)がいちばん先に空へ出ることが多いよ。
9,地震(じしん)のゆれをはかる道具(どうぐ)を何という？,地震計(じしんけい),温度計(おんどけい),時計(とけい),体重計(たいじゅうけい),1,地震計(じしんけい)は、地震(じしん)のゆれをとらえて記録する道具(どうぐ)だよ。
10,１年のうち、昼(ひる)の時間がもっとも長くなる日は何という？,夏至(げし),春分(しゅんぶん),冬至(とうじ),秋分(しゅうぶん),1,６月ごろの夏至(げし)の日は、昼(ひる)の時間が１年でいちばん長くなるよ。
